Time Range,Vessel ID,Flag,Vessel Name,Entry Timestamp,Exit Timestamp,Gear Type,Vessel Type,MMSI,IMO,CallSign,First Transmission Date,Last Transmission Date,Vessel Presence Hours
"2024-07-07T00:00:00.000Z,2024-10-07T00:00:00.000Z",42087152b-b5c5-a9f6-3900-7d5cf779f45a,CYM,PINECONE,2024-07-07T07:00:00Z,2024-08-02T19:00:00Z,PASSENGER,PASSENGER,319229300,,ZGQH4,2024-02-07T20:08:00Z,2024-08-15T04:16:35Z,77.00
"2024-07-07T00:00:00.000Z,2024-10-07T00:00:00.000Z",dc691a22c-ca81-2e30-e41a-f0db91f0c6d2,PAN,EAGLE ARROW,2024-08-17T03:00:00Z,2024-08-18T11:00:00Z,CARGO,CARGO,353414000,9529592,3FJA2,2012-01-01T00:56:59Z,2024-10-07T23:58:01Z,33.00
"2024-07-07T00:00:00.000Z,2024-10-07T00:00:00.000Z",bb3f83589-965e-44b6-472e-026d81a41a7a,CHL,LPM-4403,2024-07-07T18:00:00Z,2024-10-05T17:00:00Z,PASSENGER,PASSENGER,725000915,,CCAG7,2012-08-18T17:03:35Z,2024-10-05T17:54:37Z,21.00
"2024-07-07T00:00:00.000Z,2024-10-07T00:00:00.000Z",9c926d327-7ede-62d4-722d-7849a1f6a7ae,PAN,EAGLE SKY,2024-09-01T18:00:00Z,2024-09-03T05:00:00Z,CARGO,CARGO,351010000,9539298,3FMX3,2013-12-12T01:59:06Z,2024-10-07T23:59:09Z,36.00
"2024-07-07T00:00:00.000Z,2024-10-07T00:00:00.000Z",dfda018c5-5eb5-7c99-ef95-6cea14404612,JPN,DAIO AUSTRAL,2024-07-22T03:00:00Z,2024-07-24T13:00:00Z,CARGO,CARGO,431265000,9317391,7KQA,2024-02-13T01:46:47Z,2024-10-07T23:59:38Z,59.00
"2024-07-07T00:00:00.000Z,2024-10-07T00:00:00.000Z",e518d09a2-2c92-3a88-3100-ef38dedc9864,SGP,EVER LEGACY,2024-08-11T11:00:00Z,2024-08-12T00:00:00Z,CARGO,CARGO,566853000,9595515,9V9290,2013-02-07T03:06:49Z,2024-10-07T23:59:47Z,14.00
"2024-07-07T00:00:00.000Z,2024-10-07T00:00:00.000Z",b0a42b1f4-4012-4fec-d798-5214bdb93a48,MHL,ITAJAI EXPRESS,2024-10-04T04:00:00Z,2024-10-04T18:00:00Z,CARGO,CARGO,538009762,9520053,V7A5133,2022-12-07T06:01:11Z,2024-10-07T23:59:46Z,15.00
"2024-07-07T00:00:00.000Z,2024-10-07T00:00:00.000Z",aa19f9526-605a-c978-0156-a7d02d7599a2,TWN,EVER LIVEN,2024-09-08T11:00:00Z,2024-09-09T04:00:00Z,CARGO,CARGO,416481000,9595527,BKIE,2013-04-06T01:52:38Z,2024-10-07T23:58:57Z,18.00
"2024-07-07T00:00:00.000Z,2024-10-07T00:00:00.000Z",2748cfa73-3948-244b-2d56-790a2200c2ad,NOR,STAR LOFOTEN,2024-09-13T21:00:00Z,2024-09-15T20:00:00Z,CARGO,CARGO,258011000,9593892,LAQL7,2013-05-02T08:18:43Z,2024-10-07T23:59:35Z,48.00
"2024-07-07T00:00:00.000Z,2024-10-07T00:00:00.000Z",bfe3d5aec-c8dd-7373-aac8-dcff725905e0,MHL,MORNING CAPO,2024-08-12T03:00:00Z,2024-08-12T21:00:00Z,CARGO,CARGO,538005232,9663295,V7CB4,2013-10-09T07:03:07Z,2024-10-07T23:59:59Z,19.00
